TimeOfArrival,IDNumber,LastName,MemberCount,GuestCount
8:15,101,Smith,4,2
13:30,102,Johnson,3,1
9:50,103,Williams,2,3
11:20,104,Jones,1,0
14:45,105,Brown,6,4
12:30,106,Davis,5,3
8:55,107,Miller,2,1
11:05,142,Turner,3,1
14:35,143,Phillips,4,3
13:55,144,Campbell,2,0
10:15,145,Parker,3,1
13:50,146,Evans,5,2
11:50,147,Edwards,2,4
8:10,148,Collins,1,1
12:15,149,Stewart,6,3
13:20,150,Sanchez,3,2
10:35,151,Morris,4,0
14:20,152,Rogers,2,1
13:25,153,Reed,5,4
10:00,154,Cook,1,3
11:40,155,Morgan,3,0
15:25,156,Bell,4,2
15:20,157,Murphy,6,1
9:25,158,Bailey,2,3
11:10,159,Rivera,3,2
8:50,160,Cooper,1,4
15:50,161,Richardson,4,3
10:45,162,Cox,2,0
9:35,163,Howard,5,2
10:20,164,Ward,3,1
11:25,165,Torres,2,0
12:00,166,Peterson,4,3
10:05,167,Gray,1,1
9:30,168,Ramirez,3,0
12:25,169,James,4,2
11:45,170,Watson,2,1
8:35,171,Brooks,6,3
15:15,172,Kelly,1,4
14:00,173,Sanders,3,2
16:25,174,Price,4,0
13:10,175,Bennett,2,1
8:00,176,Wood,5,3
12:45,177,Barnes,1,2
11:55,178,Ross,3,4
15:40,179,Henderson,2,3
8:35,180,Coleman,4,0
8:05,181,Jenkins,1,1
11:00,182,Perry,6,4
10:55,183,Long,3,0
13:45,184,Powell,4,2
15:05,185,Patterson,1,3
9:50,186,Hughes,3,1
13:35,187,Flores,5,4
8:15,188,Washington,2,0
14:10,189,Butler,4,2
8:50,190,Simmons,3,1
12:05,191,Foster,4,2
11:35,192,Gonzales,2,1
13:15,193,Bryant,5,3
12:20,194,Alexander,1,2
10:40,195,Russell,3,4
14:25,196,Griffin,2,3
8:55,197,Diaz,4,1
9:05,198,Hayes,6,3
10:50,199,Myers,5,2
9:05,200,Henderson,2,0
