TimeOfArrival,IDNumber,LastName,MemberCount,GuestCount
09:30,101,Smith,4,2
14:10,102,Johnson,3,1
18:25,103,Williams,2,3
16:50,104,Jones,1,0
10:40,105,Brown,6,4
11:15,106,Davis,5,3
15:20,107,Miller,2,1
09:50,108,Wilson,3,0
11:30,109,Moore,4,2
13:45,110,Taylor,1,1
17:10,111,Anderson,2,3
18:40,112,Thomas,3,0
12:15,113,Jackson,5,4
16:05,114,White,1,2
09:20,115,Harris,4,2
10:50,116,Martin,2,1
14:25,117,Thompson,3,3
19:00,118,Garcia,6,0
11:05,119,Martinez,1,1
17:50,120,Rodriguez,2,4
13:20,121,Lewis,3,0
12:40,122,Lee,4,2
09:15,123,Walker,1,3
16:30,124,Hall,5,1
14:55,125,Allen,2,0
18:00,126,Young,3,3
15:40,127,Hernandez,4,1
10:05,128,King,1,0
13:35,129,Wright,6,4
12:25,130,Lopez,2,2
