TimeOfArrival,IDNumber,LastName,MemberCount,GuestCount
9:45,101,Smith,4,2
12:20,102,Johnson,3,1
8:10,103,Williams,2,3
14:50,104,Jones,1,0
13:35,105,Brown,6,4
10:05,106,Davis,5,3
15:15,107,Miller,2,1
9:30,108,Wilson,3,0
11:55,109,Moore,4,2
8:20,110,Taylor,1,1
12:50,111,Anderson,2,3
16:25,112,Thomas,3,0
9:20,113,Jackson,5,4
15:10,114,White,1,2
8:55,115,Harris,4,2
14:15,116,Martin,2,1
13:25,117,Thompson,3,3
9:35,118,Garcia,6,0
12:30,119,Martinez,1,1
8:05,120,Rodriguez,2,4
10:15,121,Lewis,3,0
9:00,122,Lee,4,2
8:25,123,Walker,1,3
12:10,124,Hall,5,1
14:05,125,Allen,2,0
16:00,126,Young,3,3
15:50,127,Hernandez,4,1
11:45,128,King,1,0
8:35,129,Wright,6,4
12:00,159,Rivera,3,2
8:00,160,Cooper,1,4
10:35,161,Richardson,4,3
